Langue;Mot;Traduction;Statut;Frequence
nl;aardig;aimable / gentil;Prioritaire;4.77
nl;absoluut;absolu / absolument;Standard;4.8
nl;actueel;actuel;Prioritaire;4.11
nl;algemeen;général;Prioritaire;5.15
nl;ander;autre;Prioritaire;5.37
nl;arm;pauvre;Prioritaire;4.67
nl;bang;peureux / effrayé;Prioritaire;5.18
nl;basis;de base;Standard;5.17
nl;bekend;connu;Prioritaire;5.49
nl;belangrijk;important;Prioritaire;5.34
nl;beleefd;poli;Standard;4.0
nl;benieuwd;curieux (de savoir);Standard;4.54
nl;bepaald;déterminé / certain;Prioritaire;4.86
nl;bereid;prêt / disposé;Prioritaire;4.69
nl;beroemd;célèbre;Standard;4.13
nl;beschikbaar;disponible;Prioritaire;5.01
nl;best;meilleur;Prioritaire;5.41
nl;betrokken;impliqué / concerné;Prioritaire;5.01
nl;bezig;occupé;Prioritaire;5.31
nl;bijzonder;particulier / spécial;Prioritaire;4.99
nl;blauw;bleu;Standard;4.73
nl;blij;content;Prioritaire;5.34
nl;blind;aveugle;Standard;4.35
nl;breed;large;Prioritaire;4.55
nl;bruin;brun / marron;Standard;4.42
nl;buitenlands;étranger;Prioritaire;3.68
nl;commercieel;commercial;Standard;4.27
nl;compleet;complet;Standard;4.68
nl;concreet;concret;Standard;3.9
nl;continu;continu;Standard;4.01
nl;cultureel;culturel;Prioritaire;4.27
nl;dagelijks;quotidien;Prioritaire;4.89
nl;diep;profond;Prioritaire;4.76
nl;dicht;fermé / dense;Prioritaire;5.05
nl;dik;gros / épais;Prioritaire;4.59
nl;divers;divers;Standard;3.95
nl;dom;bête;Standard;4.67
nl;donker;sombre / foncé;Prioritaire;4.53
nl;doof;sourd;Standard;3.72
nl;doeltreffend;efficace;Standard;3.37
nl;dood;mort;Prioritaire;5.57
nl;droog;sec;Prioritaire;4.51
nl;druk;animé / occupé;Prioritaire;5.34
nl;dubbel;double;Prioritaire;4.5
nl;duidelijk;clair / distinct;Prioritaire;5.36
nl;duur;cher;Prioritaire;4.71
nl;echt;vrai / véritable;Prioritaire;6.01
nl;economisch;économique;Prioritaire;4.36
nl;éénvoudig;simple;Prioritaire;0.0
nl;eigen;propre (à soi);Prioritaire;5.81
nl;enig;seul / unique / chouette;Prioritaire;4.55
nl;enthousiast;enthousiaste;Standard;4.5
nl;erg;grave / très;Prioritaire;5.71
nl;ernstig;sérieux;Prioritaire;4.57
nl;even;égal;Prioritaire;5.85
nl;eventueel;éventuel;Prioritaire;4.14
nl;exclusief;exclusif;Standard;4.15
nl;extern;externe;Standard;3.36
nl;extra;supplémentaire;Prioritaire;5.16
nl;fijn;fin / agréable;Prioritaire;5.09
nl;financieel;financier;Prioritaire;4.47
nl;fysiek;physique;Standard;4.25
nl;geel;jaune;Standard;4.54
nl;geheel;entier;Prioritaire;5.03
nl;gek;fou;Standard;5.13
nl;gelukkig;heureux;Prioritaire;5.23
nl;gemakkelijk;facile;Prioritaire;4.69
nl;gemiddeld;moyen;Prioritaire;4.55
nl;genoeg;assez;Prioritaire;5.49
nl;gerust;rassuré / tranquille;Prioritaire;4.45
nl;gevoelig;sensible;Prioritaire;4.32
nl;gevaarlijk;dangereux;Prioritaire;4.63
nl;gezellig;convivial / agréable;Prioritaire;4.64
nl;gezond;sain / en bonne santé;Prioritaire;4.71
nl;goed;bon / bien;Prioritaire;6.2
nl;goedkoop;bon marché;Prioritaire;4.43
nl;groot;grand;Prioritaire;5.59
nl;groen;vert;Standard;4.82
nl;gunstig;favorable;Prioritaire;4.0
nl;half;demi;Prioritaire;5.05
nl;hard;dur / fort / vite;Prioritaire;5.15
nl;heet;très chaud;Standard;5.02
nl;helder;clair / limpide;Prioritaire;4.5
nl;hele;tout / entier;Prioritaire;5.79
nl;hoog;haut;Prioritaire;5.04
nl;huidig;actuel;Prioritaire;3.75
nl;ieder;chaque;Prioritaire;5.2
nl;internationaal;international;Prioritaire;4.77
nl;jammer;dommage;Prioritaire;4.85
nl;jong;jeune;Prioritaire;5.01
nl;juist;juste / correct;Prioritaire;5.26
nl;kalm;calme;Standard;3.9
nl;kapot;cassé;Standard;4.7
nl;kenmerkend;caractéristique;Standard;3.88
nl;klaar;prêt / fini;Prioritaire;5.51
nl;klein;petit;Prioritaire;5.3
nl;kleurrijk;coloré;Standard;3.64
nl;knap;beau / intelligent;Standard;4.47
